"","numberOfDimensions","fitness.training","fitness.testing"
"1",1,0.628571428571429,0.357142857142857
"2",2,0.571428571428571,0.428571428571429
"3",3,0.742857142857143,0.357142857142857
"4",4,0.742857142857143,0.357142857142857
"5",5,0.785714285714286,0.428571428571429
"6",6,0.728571428571429,0.428571428571429
"7",7,0.7,0.5
"8",8,0.771428571428571,0.464285714285714
"9",9,0.785714285714286,0.464285714285714
"10",10,0.785714285714286,0.464285714285714
"11",11,0.8,0.428571428571429
"12",12,0.828571428571429,0.464285714285714
"13",13,0.857142857142857,0.428571428571429
"14",14,0.828571428571429,0.5
"15",15,0.857142857142857,0.464285714285714
"16",16,0.828571428571429,0.428571428571429
"17",17,0.885714285714286,0.392857142857143
"18",18,0.842857142857143,0.392857142857143
"19",19,0.871428571428571,0.392857142857143
"20",20,0.914285714285714,0.321428571428571
"21",21,0.885714285714286,0.357142857142857
"22",22,0.928571428571429,0.357142857142857
"23",23,0.914285714285714,0.357142857142857
"24",24,0.914285714285714,0.357142857142857
"25",25,0.928571428571429,0.321428571428571
"26",26,0.942857142857143,0.321428571428571
"27",27,0.971428571428571,0.285714285714286
"28",28,0.985714285714286,0.321428571428571
"29",29,0.985714285714286,0.357142857142857
"30",30,0.971428571428571,0.285714285714286
"31",31,0.971428571428571,0.392857142857143
"32",32,0.985714285714286,0.285714285714286
"33",33,0.985714285714286,0.357142857142857
"34",34,0.985714285714286,0.357142857142857
"35",35,0.985714285714286,0.357142857142857
